"BehaviorSpace results (NetLogo 6.0.2)"
"vultures_ver3.nlogo"
"experiment"
"09/02/2018 11:02:07:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","cohesion?","users?","alignment?","[step]","avg-t2e","avg-t2d","tar-count"
"350","true","false","true","10000","187.15164184570312","376.9443817138672","17"
"351","true","false","true","10000","243.642578125","299.0439453125","11"
"352","true","false","true","10000","221.935546875","626.009765625","10"
"353","true","false","true","10000","221.8427734375","206.16534423828125","15"
"354","true","false","true","10000","158.47821044921875","507.89353942871094","19"
"355","true","false","true","10000","220.85546875","645.2109375","9"
"357","true","false","true","10000","160.714111328125","454.93505859375","13"
"356","true","false","true","10000","306.01776123046875","560.0704956054688","16"
"358","true","false","true","10000","164.23974609375","293.0732421875","12"
"359","true","false","true","10000","377.647216796875","317.24609375","15"
"360","true","false","true","10000","203.1240234375","960.9814453125","12"
"361","true","false","true","10000","142.703125","153.201171875","10"
"362","true","false","true","10000","115.21875","1580.46875","7"
"363","true","false","true","10000","348.123046875","237.505859375","11"
"364","true","false","true","10000","348.625","487.375","6"
"366","true","false","true","10000","229.20703125","334.98046875","9"
"365","true","false","true","10000","153.8125","794.78515625","11"
"367","true","false","true","10000","368.6875","1677.8125","7"
"368","true","false","true","10000","173.73438262939453","159.03164291381836","19"
"370","true","false","true","10000","129.71200561523438","278.4626770019531","16"
"369","true","false","true","10000","159.79833984375","325.21923828125","12"
"372","true","false","true","10000","148.04296875","578.5294189453125","14"
"371","true","false","true","10000","189.84866333007812","790.8500671386719","17"
"374","true","false","true","10000","257.6629943847656","128.20773315429688","17"
"373","true","false","true","10000","185.5333251953125","621.072265625","14"
"375","true","false","true","10000","197.423828125","436.02490234375","13"
"376","true","false","true","10000","295.08984375","940.8515625","9"
"377","true","false","true","10000","368.61669921875","1168.246337890625","13"
"378","true","false","true","10000","323.4345703125","566.69140625","11"
"379","true","false","true","10000","338.15625","829.484375","7"
"380","true","false","true","10000","167.87109375","1157.466796875","10"
